evento,url,fecha,lugar
UFC 234: Adesanya vs. Silva,http://ufcstats.com/event-details/b5882371e2a3900d,9/2/2019,"Melbourne, Victoria, Australia"
UFC Fight Night: Assuncao vs. Moraes 2,http://ufcstats.com/event-details/84283233ec42be5f,2/2/2019,"Fortaleza, Ceara, Brazil"
UFC Fight Night: Cejudo vs. Dillashaw,http://ufcstats.com/event-details/d4da8995fc91e7ef,19/1/2019,"Brooklyn, New York, USA"
UFC 232: Jones vs. Gustafsson 2,http://ufcstats.com/event-details/c046100aea0dba9a,29/12/2018,"Los Angeles, California, USA"
UFC Fight Night: Lee vs. Iaquinta,http://ufcstats.com/event-details/7a703c565ccaa18f,15/12/2018,"Milwaukee, Wisconsin, USA"
UFC 231: Holloway vs. Ortega,http://ufcstats.com/event-details/2a74bbba57058f12,8/12/2018,"Toronto, Ontario, Canada"
UFC Fight Night: Dos Santos vs. Tuivasa,http://ufcstats.com/event-details/d1d20e651e6cbc02,1/12/2018,"Adelaide, South Australia, Australia"
The Ultimate Fighter: Heavy Hitters Finale,http://ufcstats.com/event-details/c7ac79839e86ce33,30/11/2018,"Las Vegas, Nevada, USA"
UFC Fight Night: Blaydes vs. Ngannou 2,http://ufcstats.com/event-details/de25520d54eab12d,24/11/2018,"Beijing, China"
UFC Fight Night: Magny vs. Ponzinibbio,http://ufcstats.com/event-details/aa3153a9941b4d44,17/11/2018,"Buenos Aires, Buenos Aires, Argentina"
UFC Fight Night: Korean Zombie vs. Rodriguez,http://ufcstats.com/event-details/42c96a9c4802e2e1,10/11/2018,"Denver, Colorado, USA"
UFC 230: Cormier vs. Lewis,http://ufcstats.com/event-details/20821819c401ced8,3/11/2018,"New York City, New York, USA"
UFC Fight Night: Oezdemir vs. Smith,http://ufcstats.com/event-details/33a331684283900f,27/10/2018,"Moncton, New Brunswick, Canada"
UFC 229: Khabib vs. McGregor,http://ufcstats.com/event-details/1ef0eae31904e534,6/10/2018,"Las Vegas, Nevada, USA"
UFC Fight Night: Marreta vs. Anders,http://ufcstats.com/event-details/852454c572675334,22/9/2018,"Sao Paulo, Sao Paulo, Brazil"
UFC Fight Night: Hunt vs. Oleinik,http://ufcstats.com/event-details/8d49545dadf9b919,15/9/2018,"Moscow, Moscow, Russia"
UFC 228: Woodley vs. Till,http://ufcstats.com/event-details/d5ae8074631762fc,8/9/2018,"Dallas, Texas, USA"
UFC Fight Night: Gaethje vs. Vick,http://ufcstats.com/event-details/c0342805a1948cbb,25/8/2018,"Lincoln, Nebraska, USA"
UFC 227: Dillashaw vs. Garbrandt 2,http://ufcstats.com/event-details/03b1e846b09f721d,4/8/2018,"Los Angeles, California, USA"
UFC Fight Night: Alvarez vs. Poirier 2,http://ufcstats.com/event-details/322a56923b396b4d,28/7/2018,"Calgary, Alberta, Canada"
UFC Fight Night: Shogun vs. Smith,http://ufcstats.com/event-details/4f732e58ed907eff,22/7/2018,"Hamburg, Hamburg, Germany"
UFC Fight Night: Dos Santos vs. Ivanov,http://ufcstats.com/event-details/b45d6b73f4ca4467,14/7/2018,"Boise, Idaho, USA"
UFC 226: Miocic vs. Cormier,http://ufcstats.com/event-details/35585d970300d45a,7/7/2018,"Las Vegas, Nevada, USA"
The Ultimate Fighter: Undefeated Finale,http://ufcstats.com/event-details/8215e4fe24e8e81b,6/7/2018,"Las Vegas, Nevada, USA"
UFC Fight Night: Cowboy vs. Edwards,http://ufcstats.com/event-details/ac5f67109accb482,23/6/2018,"Kallang, Singapore"
UFC 225: Whittaker vs. Romero 2,http://ufcstats.com/event-details/2eae41f61776c60f,9/6/2018,"Chicago, Illinois, USA"
UFC Fight Night: Rivera vs. Moraes,http://ufcstats.com/event-details/d29b5c4f22c6357d,1/6/2018,"Utica, New York, USA"
UFC Fight Night: Thompson vs. Till,http://ufcstats.com/event-details/f5990c11974d8e9c,27/5/2018,"Liverpool, England, United Kingdom"
UFC Fight Night: Maia vs. Usman,http://ufcstats.com/event-details/3144121470023e9a,19/5/2018,"Santiago, Chile"
UFC 224: Nunes vs. Pennington,http://ufcstats.com/event-details/67ec58d7cf599835,12/5/2018,"Rio de Janeiro, Rio de Janeiro, Brazil"
UFC Fight Night: Barboza vs. Lee,http://ufcstats.com/event-details/ad99fa5325519169,21/4/2018,"Atlantic City, New Jersey, USA"
UFC Fight Night: Poirier vs. Gaethje,http://ufcstats.com/event-details/620be7e0712d431b,14/4/2018,"Glendale, Arizona, USA"
UFC 223: Khabib vs. Iaquinta,http://ufcstats.com/event-details/49e7e05f902479ca,7/4/2018,"Brooklyn, New York, USA"
UFC Fight Night: Werdum vs. Volkov,http://ufcstats.com/event-details/eed2b71d77d95416,17/3/2018,"London, England, United Kingdom"
UFC 222: Cyborg vs. Kunitskaya,http://ufcstats.com/event-details/7929be8290289a47,3/3/2018,"Las Vegas, Nevada, USA"
UFC Fight Night: Emmett vs. Stephens,http://ufcstats.com/event-details/daa89f01e1c0f42a,24/2/2018,"Orlando, Florida, USA"
UFC Fight Night: Cerrone vs. Medeiros,http://ufcstats.com/event-details/d181689653115b6a,18/2/2018,"Austin, Texas, USA"
